fecha,banco,compra,venta
2025-06-27,Banesco,106.3437,108.3145
2025-06-27,BBVA Provincial,107.2919,107.8781
2025-06-27,Banco Plaza,106.7388,106.9467
2025-06-27,Banco Mercantil,106.8851,107.9
2025-06-27,Banco Sofitasa,106.8136,107.1565
2025-06-27,Otras Instituciones,107.1784,108.3368
2025-06-26,Banesco,105.609,107.5066
2025-06-26,BBVA Provincial,106.1994,107.1965
2025-06-26,Banco Mercantil,106.3877,107.4906
2025-06-26,Banco Nacional de Credito BNC,106.0278,107.4403
2025-06-26,Banco Exterior,106.1695,107.6524
2025-06-26,Otras Instituciones,106.1334,107.5417
2025-06-25,Banesco,107.2118,104.9243
2025-06-25,100 Banco,106.3999,106.55
2025-06-25,Banco Plaza,105.5924,105.4077
2025-06-25,Banco Activo,105.9526,107.6796
2025-06-25,Otras Instituciones,105.6604,105.6158
2025-06-20,Banco Mercantil,104.5498,106.0917
2025-06-20,Banco Nacional de Credito BNC,104.3014,106.0866
2025-06-20,Banesco,104.1251,105.9903
2025-06-20,BBVA Provincial,104.6689,105.2939
2025-06-20,Banco Plaza,104.5434,104.6656
2025-06-20,Otras Instituciones,104.7383,105.9158
2025-06-19,Banesco,103.0998,103.5879
2025-06-19,Banco Mercantil,104.8303,106.6471
2025-06-19,Bancamiga,104.1976,105.375
2025-06-19,Banco Nacional de Credito BNC,103.3807,103.3173
2025-06-19,BBVA Provincial,103.7377,104.7728
2025-06-19,Otras Instituciones,103.3645,104.5926
2025-06-18,Banco Mercantil,105.3536,103.0065
2025-06-18,Banesco,102.1553,102.1014
2025-06-18,BBVA Provincial,102.7549,103.5393
2025-06-18,Bancamiga,102.8738,103.2036
2025-06-18,Banco Exterior,103.116,104.9716
2025-06-18,Otras Instituciones,102.8914,103.5163
2025-06-17,Banesco,105.2681,102.1569
2025-06-17,BBVA Provincial,102.1197,102.1009
2025-06-17,Banco Mercantil,102.9683,102.2014
2025-06-17,BanCaribe,102.7466,102.1554
2025-06-17,100 Banco,103.0837,103.1699
2025-06-17,Otras Instituciones,102.5034,102.6117
2025-06-13,BBVA Provincial,101.1753,102.0713
2025-06-13,Banesco,100.8508,103.3244
2025-06-13,Banco Nacional de Credito BNC,101.0212,102.7392
2025-06-13,Banco Mercantil,102.7961,103.5465
2025-06-13,BFC Banco Fondo Comun,100.8261,100.3396
2025-06-13,Otras Instituciones,102.0374,102.256
2025-06-12,Banesco,100.4833,103.339
2025-06-12,Bancamiga,100.3165,100.9124
2025-06-12,Banco Nacional de Credito BNC,100.3737,101.9025
2025-06-12,BBVA Provincial,100.6071,100.8111
2025-06-12,Banco Mercantil,100.7782,102.3126
2025-06-12,Otras Instituciones,100.3655,100.993
2025-06-11,BBVA Provincial,99.7298,100.1967
2025-06-11,Banco Mercantil,99.4828,99.8919
2025-06-11,Banesco,104.0042,100.8423
2025-06-11,Banco Nacional de Credito BNC,99.646,100.4502
2025-06-11,Banplus,99.7018,100.206
2025-06-11,Otras Instituciones,99.6771,100.2229
2025-06-10,Banesco,99.6524,99.7685
